# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	1.001001001001e+00	1.001001001001e+00	2.220446049250e-16	2.218225603201e-16
2.00000000e-03	1.002004008016e+00	1.002004008016e+00	4.440892098501e-16	4.432010314304e-16
3.00000000e-03	1.003009027081e+00	1.003009027081e+00	2.220446049250e-16	2.213784711103e-16
4.00000000e-03	1.004016064257e+00	1.004016064257e+00	2.220446049250e-16	2.211564265053e-16
5.00000000e-03	1.005025125628e+00	1.005025125628e+00	6.661338147751e-16	6.628031457012e-16
6.00000000e-03	1.006036217304e+00	1.006036217304e+00	6.661338147751e-16	6.621370118864e-16
7.00000000e-03	1.007049345418e+00	1.007049345418e+00	6.661338147751e-16	6.614708780717e-16
8.00000000e-03	1.008064516129e+00	1.008064516129e+00	6.661338147751e-16	6.608047442569e-16
9.00000000e-03	1.009081735621e+00	1.009081735621e+00	8.881784197001e-16	8.801848139228e-16
1.00000000e-02	1.010101010101e+00	1.010101010101e+00	6.661338147751e-16	6.594724766273e-16
1.10000000e-02	1.011122345804e+00	1.011122345804e+00	8.881784197001e-16	8.784084570834e-16
1.20000000e-02	1.012145748988e+00	1.012145748988e+00	6.661338147751e-16	6.581402089978e-16
1.30000000e-02	1.013171225937e+00	1.013171225937e+00	6.661338147751e-16	6.574740751830e-16
1.40000000e-02	1.014198782961e+00	1.014198782961e+00	8.881784197001e-16	8.757439218243e-16
1.50000000e-02	1.015228426396e+00	1.015228426396e+00	1.110223024625e-15	1.093569679256e-15
1.60000000e-02	1.016260162602e+00	1.016260162602e+00	1.110223024625e-15	1.092459456231e-15
1.70000000e-02	1.017293997965e+00	1.017293997965e+00	1.110223024625e-15	1.091349233207e-15
1.80000000e-02	1.018329938900e+00	1.018329938900e+00	1.110223024625e-15	1.090239010182e-15
1.90000000e-02	1.019367991845e+00	1.019367991845e+00	1.110223024625e-15	1.089128787157e-15
2.00000000e-02	1.020408163265e+00	1.020408163265e+00	1.110223024625e-15	1.088018564133e-15
2.10000000e-02	1.021450459653e+00	1.021450459653e+00	1.332267629550e-15	1.304290009330e-15
2.20000000e-02	1.022494887526e+00	1.022494887526e+00	1.110223024625e-15	1.085798118083e-15
2.30000000e-02	1.023541453429e+00	1.023541453429e+00	8.881784197001e-16	8.677503160470e-16
2.40000000e-02	1.024590163934e+00	1.024590163934e+00	8.881784197001e-16	8.668621376273e-16
2.50000000e-02	1.025641025641e+00	1.025641025641e+00	6.661338147751e-16	6.494804694057e-16
2.60000000e-02	1.026694045175e+00	1.026694045175e+00	6.661338147751e-16	6.488143355909e-16
2.70000000e-02	1.027749229188e+00	1.027749229188e+00	8.881784197001e-16	8.641976023682e-16
2.80000000e-02	1.028806584362e+00	1.028806584362e+00	1.110223024625e-15	1.079136779936e-15
2.90000000e-02	1.029866117405e+00	1.029866117405e+00	1.332267629550e-15	1.293631868293e-15
3.00000000e-02	1.030927835052e+00	1.030927835052e+00	1.554312234475e-15	1.507682867441e-15
3.10000000e-02	1.031991744066e+00	1.031991744066e+00	1.776356839400e-15	1.721289777379e-15
3.20000000e-02	1.033057851240e+00	1.033057851240e+00	1.776356839400e-15	1.719513420539e-15
3.30000000e-02	1.034126163392e+00	1.034126163392e+00	1.998401444325e-15	1.932454196663e-15
3.40000000e-02	1.035196687371e+00	1.035196687371e+00	1.998401444325e-15	1.930455795218e-15
3.50000000e-02	1.036269430052e+00	1.036269430052e+00	1.776356839400e-15	1.714184350021e-15
3.60000000e-02	1.037344398340e+00	1.037344398340e+00	1.332267629550e-15	1.284305994886e-15
3.70000000e-02	1.038421599169e+00	1.038421599169e+00	1.332267629550e-15	1.282973727257e-15
3.80000000e-02	1.039501039501e+00	1.039501039501e+00	1.554312234475e-15	1.495248369565e-15
3.90000000e-02	1.040582726327e+00	1.040582726327e+00	1.332267629550e-15	1.280309191998e-15
4.00000000e-02	1.041666666667e+00	1.041666666667e+00	1.776356839400e-15	1.705302565824e-15
4.10000000e-02	1.042752867570e+00	1.042752867570e+00	1.776356839400e-15	1.703526208985e-15
4.20000000e-02	1.043841336117e+00	1.043841336117e+00	1.776356839400e-15	1.701749852145e-15
4.30000000e-02	1.044932079415e+00	1.044932079415e+00	1.998401444325e-15	1.912470182219e-15
4.40000000e-02	1.046025104603e+00	1.046025104603e+00	1.776356839400e-15	1.698197138467e-15
4.50000000e-02	1.047120418848e+00	1.047120418848e+00	1.554312234475e-15	1.484368183924e-15
4.60000000e-02	1.048218029350e+00	1.048218029350e+00	1.776356839400e-15	1.694644424788e-15
4.70000000e-02	1.049317943337e+00	1.049317943337e+00	1.776356839400e-15	1.692868067948e-15
4.80000000e-02	1.050420168067e+00	1.050420168067e+00	1.776356839400e-15	1.691091711109e-15
4.90000000e-02	1.051524710831e+00	1.051524710831e+00	1.998401444325e-15	1.900479773553e-15
5.00000000e-02	1.052631578947e+00	1.052631578947e+00	2.220446049250e-15	2.109423746788e-15
5.10000000e-02	1.053740779768e+00	1.053740779768e+00	2.220446049250e-15	2.107203300739e-15
5.20000000e-02	1.054852320675e+00	1.054852320675e+00	2.220446049250e-15	2.104982854689e-15
5.30000000e-02	1.055966209081e+00	1.055966209081e+00	2.220446049250e-15	2.102762408640e-15
5.40000000e-02	1.057082452431e+00	1.057082452431e+00	2.442490654175e-15	2.310596158850e-15
5.50000000e-02	1.058201058201e+00	1.058201058201e+00	1.998401444325e-15	1.888489364887e-15
5.60000000e-02	1.059322033898e+00	1.059322033898e+00	2.220446049250e-15	2.096101070492e-15
5.70000000e-02	1.060445387063e+00	1.060445387063e+00	2.442490654175e-15	2.303268686887e-15
5.80000000e-02	1.061571125265e+00	1.061571125265e+00	2.442490654175e-15	2.300826196233e-15
5.90000000e-02	1.062699256111e+00	1.062699256111e+00	2.442490654175e-15	2.298383705579e-15
6.00000000e-02	1.063829787234e+00	1.063829787234e+00	2.664535259100e-15	2.504663143554e-15
6.10000000e-02	1.064962726305e+00	1.064962726305e+00	2.442490654175e-15	2.293498724271e-15
6.20000000e-02	1.066098081023e+00	1.066098081023e+00	2.442490654175e-15	2.291056233616e-15
6.30000000e-02	1.067235859125e+00	1.067235859125e+00	2.442490654175e-15	2.288613742962e-15
6.40000000e-02	1.068376068376e+00	1.068376068376e+00	2.886579864025e-15	2.701838752728e-15
6.50000000e-02	1.069518716578e+00	1.069518716578e+00	2.664535259100e-15	2.491340467259e-15
6.60000000e-02	1.070663811563e+00	1.070663811563e+00	2.664535259100e-15	2.488675932000e-15
6.70000000e-02	1.071811361200e+00	1.071811361200e+00	2.664535259100e-15	2.486011396741e-15
6.80000000e-02	1.072961373391e+00	1.072961373391e+00	2.442490654175e-15	2.276401289691e-15
6.90000000e-02	1.074113856069e+00	1.074113856069e+00	2.664535259100e-15	2.480682326222e-15
7.00000000e-02	1.075268817204e+00	1.075268817204e+00	2.664535259100e-15	2.478017790963e-15
7.10000000e-02	1.076426264801e+00	1.076426264801e+00	2.886579864025e-15	2.681632693680e-15
7.20000000e-02	1.077586206897e+00	1.077586206897e+00	2.442490654175e-15	2.266631327075e-15
7.30000000e-02	1.078748651564e+00	1.078748651564e+00	2.664535259100e-15	2.470024185186e-15
7.40000000e-02	1.079913606911e+00	1.079913606911e+00	2.664535259100e-15	2.467359649927e-15
7.50000000e-02	1.081081081081e+00	1.081081081081e+00	2.664535259100e-15	2.464695114668e-15
7.60000000e-02	1.082251082251e+00	1.082251082251e+00	2.664535259100e-15	2.462030579409e-15
7.70000000e-02	1.083423618635e+00	1.083423618635e+00	2.664535259100e-15	2.459366044150e-15
7.80000000e-02	1.084598698482e+00	1.084598698482e+00	2.886579864025e-15	2.661426634631e-15
7.90000000e-02	1.085776330076e+00	1.085776330076e+00	2.886579864025e-15	2.658540054767e-15
8.00000000e-02	1.086956521739e+00	1.086956521739e+00	2.664535259100e-15	2.451372438372e-15
8.10000000e-02	1.088139281828e+00	1.088139281828e+00	2.886579864025e-15	2.652766895039e-15
8.20000000e-02	1.089324618736e+00	1.089324618736e+00	3.108624468950e-15	2.853717262497e-15
8.30000000e-02	1.090512540894e+00	1.090512540894e+00	2.664535259100e-15	2.443378832595e-15
8.40000000e-02	1.091703056769e+00	1.091703056769e+00	2.664535259100e-15	2.440714297336e-15
8.50000000e-02	1.092896174863e+00	1.092896174863e+00	2.664535259100e-15	2.438049762077e-15
8.60000000e-02	1.094091903720e+00	1.094091903720e+00	2.664535259100e-15	2.435385226818e-15
8.70000000e-02	1.095290251917e+00	1.095290251917e+00	2.664535259100e-15	2.432720691559e-15
8.80000000e-02	1.096491228070e+00	1.096491228070e+00	2.442490654175e-15	2.227551476608e-15
8.90000000e-02	1.097694840834e+00	1.097694840834e+00	2.442490654175e-15	2.225108985954e-15
9.00000000e-02	1.098901098901e+00	1.098901098901e+00	2.220446049250e-15	2.020605904818e-15
9.10000000e-02	1.100110011001e+00	1.100110011001e+00	2.220446049250e-15	2.018385458769e-15
9.20000000e-02	1.101321585903e+00	1.101321585903e+00	1.998401444325e-15	1.814548511447e-15
9.30000000e-02	1.102535832415e+00	1.102535832415e+00	2.220446049250e-15	2.013944566670e-15
9.40000000e-02	1.103752759382e+00	1.103752759382e+00	2.442490654175e-15	2.212896532683e-15
9.50000000e-02	1.104972375691e+00	1.104972375691e+00	2.442490654175e-15	2.210454042029e-15
9.60000000e-02	1.106194690265e+00	1.106194690265e+00	2.220446049250e-15	2.007283228522e-15
9.70000000e-02	1.107419712071e+00	1.107419712071e+00	2.220446049250e-15	2.005062782473e-15
9.80000000e-02	1.108647450111e+00	1.108647450111e+00	2.220446049250e-15	2.002842336424e-15
9.90000000e-02	1.109877913430e+00	1.109877913430e+00	2.220446049250e-15	2.000621890375e-15
1.00000000e-01	1.111111111111e+00	1.111111111111e+00	2.442490654175e-15	2.198241588758e-15
1.01000000e-01	1.112347052280e+00	1.112347052280e+00	2.220446049250e-15	1.996180998276e-15
1.02000000e-01	1.113585746102e+00	1.113585746102e+00	2.220446049250e-15	1.993960552227e-15
1.03000000e-01	1.114827201784e+00	1.114827201784e+00	2.220446049250e-15	1.991740106178e-15
1.04000000e-01	1.116071428571e+00	1.116071428571e+00	2.442490654175e-15	2.188471626141e-15
1.05000000e-01	1.117318435754e+00	1.117318435754e+00	1.998401444325e-15	1.788569292671e-15
1.06000000e-01	1.118568232662e+00	1.118568232662e+00	1.998401444325e-15	1.786570891227e-15
1.07000000e-01	1.119820828667e+00	1.119820828667e+00	1.776356839400e-15	1.586286657584e-15
1.08000000e-01	1.121076233184e+00	1.121076233184e+00	1.554312234475e-15	1.386446513152e-15
1.09000000e-01	1.122334455668e+00	1.122334455668e+00	1.110223024625e-15	9.892087149410e-16
1.10000000e-01	1.123595505618e+00	1.123595505618e+00	1.332267629550e-15	1.185718190300e-15
1.11000000e-01	1.124859392576e+00	1.124859392576e+00	1.332267629550e-15	1.184385922670e-15
1.12000000e-01	1.126126126126e+00	1.126126126126e+00	1.332267629550e-15	1.183053655041e-15
1.13000000e-01	1.127395715896e+00	1.127395715896e+00	1.332267629550e-15	1.181721387411e-15
1.14000000e-01	1.128668171558e+00	1.128668171558e+00	1.332267629550e-15	1.180389119781e-15
1.15000000e-01	1.129943502825e+00	1.129943502825e+00	1.332267629550e-15	1.179056852152e-15
1.16000000e-01	1.131221719457e+00	1.131221719457e+00	1.110223024625e-15	9.814371537686e-16
1.17000000e-01	1.132502831257e+00	1.132502831257e+00	1.332267629550e-15	1.176392316893e-15
1.18000000e-01	1.133786848073e+00	1.133786848073e+00	1.110223024625e-15	9.792167077194e-16
1.19000000e-01	1.135073779796e+00	1.135073779796e+00	1.110223024625e-15	9.781064846948e-16
1.20000000e-01	1.136363636364e+00	1.136363636364e+00	8.881784197001e-16	7.815970093361e-16
1.21000000e-01	1.137656427759e+00	1.137656427759e+00	8.881784197001e-16	7.807088309164e-16
1.22000000e-01	1.138952164009e+00	1.138952164009e+00	1.110223024625e-15	9.747758156209e-16
1.23000000e-01	1.140250855188e+00	1.140250855188e+00	8.881784197001e-16	7.789324740770e-16
1.24000000e-01	1.141552511416e+00	1.141552511416e+00	1.110223024625e-15	9.725553695716e-16
1.25000000e-01	1.142857142857e+00	1.142857142857e+00	1.110223024625e-15	9.714451465470e-16
1.26000000e-01	1.144164759725e+00	1.144164759725e+00	1.110223024625e-15	9.703349235224e-16
1.27000000e-01	1.145475372279e+00	1.145475372279e+00	1.110223024625e-15	9.692247004978e-16
1.28000000e-01	1.146788990826e+00	1.146788990826e+00	8.881784197001e-16	7.744915819785e-16
1.29000000e-01	1.148105625718e+00	1.148105625718e+00	1.110223024625e-15	9.670042544485e-16
1.30000000e-01	1.149425287356e+00	1.149425287356e+00	1.110223024625e-15	9.658940314239e-16
1.31000000e-01	1.150747986191e+00	1.150747986191e+00	1.110223024625e-15	9.647838083993e-16
1.32000000e-01	1.152073732719e+00	1.152073732719e+00	1.110223024625e-15	9.636735853746e-16
1.33000000e-01	1.153402537486e+00	1.153402537486e+00	1.332267629550e-15	1.155076034820e-15
1.34000000e-01	1.154734411085e+00	1.154734411085e+00	1.110223024625e-15	9.614531393254e-16
1.35000000e-01	1.156069364162e+00	1.156069364162e+00	1.554312234475e-15	1.344480082821e-15
1.36000000e-01	1.157407407407e+00	1.157407407407e+00	1.554312234475e-15	1.342925770587e-15
1.37000000e-01	1.158748551564e+00	1.158748551564e+00	1.554312234475e-15	1.341371458352e-15
1.38000000e-01	1.160092807425e+00	1.160092807425e+00	1.554312234475e-15	1.339817146118e-15
1.39000000e-01	1.161440185830e+00	1.161440185830e+00	1.554312234475e-15	1.338262833883e-15
1.40000000e-01	1.162790697674e+00	1.162790697674e+00	1.776356839400e-15	1.527666881884e-15
