# logistic: x' = k x (1 - x), k = -1.0, dt = 0.001
# Każdy blok: nagłówek '# x0=...' i wiersze: t	x

# x0=-1
0	-1
0.001	-0.9980029956729078
0.002	-0.9960119654330459
0.003	-0.9940268835040686
0.004	-0.9920477242574867
0.005	-0.9900744622116082
0.006	-0.9881070720304883
0.007	-0.9861455285228888
0.008	-0.9841898066412466
0.009	-0.9822398814806498
0.01	-0.9802957282778239
0.011	-0.9783573224101259
0.012	-0.9764246393945472
0.013	-0.974497654886725
0.014	-0.9725763446799619
0.015	-0.9706606847042539
0.016	-0.9687506510253266
0.017	-0.9668462198436798
0.018	-0.9649473674936395
0.019	-0.9630540704424186
0.02	-0.9611663052891858
0.021	-0.9592840487641404
0.022	-0.9574072777275974
0.023	-0.9555359691690786
0.024	-0.9536701002064116
0.025	-0.9518096480848371
0.026	-0.9499545901761227
0.027	-0.9481049039776842
0.028	-0.946260567111715
0.029	-0.9444215573243215
0.03	-0.9425878524846673
0.031	-0.9407594305841223
0.032	-0.9389362697354215
0.033	-0.9371183481718283
0.034	-0.935305644246306
0.035	-0.9334981364306961
0.036	-0.931695803314903
0.037	-0.9298986236060854
0.038	-0.9281065761278547
0.039	-0.9263196398194796
0.04	-0.9245377937350974
0.041	-0.9227610170429315
0.042	-0.9209892890245158
0.043	-0.9192225890739252
0.044	-0.9174608966970114
0.045	-0.9157041915106471
0.046	-0.9139524532419737
0.047	-0.9122056617276578
0.048	-0.9104637969131506
0.049	-0.9087268388519565
0.05	-0.9069947677049055
0.051	-0.9052675637394323
0.052	-0.9035452073288608
0.053	-0.9018276789516945
0.054	-0.9001149591909129
0.055	-0.8984070287332732
0.056	-0.8967038683686176
0.057	-0.8950054589891862
0.058	-0.8933117815889354
0.059	-0.8916228172628621
0.06	-0.8899385472063324
0.061	-0.8882589527144167
0.062	-0.886584015181229
0.063	-0.8849137160992721
0.064	-0.8832480370587886
0.065	-0.8815869597471155
0.066	-0.8799304659480451
0.067	-0.8782785375411903
0.068	-0.8766311565013557
0.069	-0.8749883048979126
0.07	-0.8733499648941795
0.071	-0.8717161187468075
0.072	-0.870086748805171
0.073	-0.8684618375107612
0.074	-0.8668413673965872
0.075	-0.8652253210865795
0.076	-0.8636136812949987
0.077	-0.8620064308258505
0.078	-0.8604035525723018
0.079	-0.8588050295161053
0.08	-0.8572108447270251
0.081	-0.8556209813622694
0.082	-0.8540354226659256
0.083	-0.8524541519684014
0.084	-0.8508771526858688
0.085	-0.8493044083197135
0.086	-0.8477359024559877
0.087	-0.8461716187648679
0.088	-0.8446115410001164
0.089	-0.8430556529985463
0.09	-0.8415039386794926
0.091	-0.8399563820442846
0.092	-0.8384129671757246
0.093	-0.8368736782375695
0.094	-0.8353384994740172
0.095	-0.8338074152091949
0.096	-0.8322804098466539
0.097	-0.8307574678688668
0.098	-0.8292385738367288
0.099	-0.8277237123890621
0.1	-0.8262128682421251
0.101	-0.8247060261891254
0.102	-0.823203171099735
0.103	-0.8217042879196106
0.104	-0.8202093616699171
0.105	-0.8187183774468543
0.106	-0.8172313204211876
0.107	-0.8157481758377825
0.108	-0.8142689290151413
0.109	-0.8127935653449444
0.11	-0.8113220702915953
0.111	-0.8098544293917682
