# Równanie: y' = k y (1-y), k=1, y0=-0.1, dt=1.000e-03, nsteps=3000
# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	-1.001100660304e-01	-1.001100660304e-01	2.775557561563e-17	2.772505974293e-16
2.00000000e-03	-1.002202642437e-01	-1.002202642437e-01	1.387778780781e-17	1.384728718543e-16
3.00000000e-03	-1.003305948227e-01	-1.003305948227e-01	1.387778780781e-17	1.383205973445e-16
4.00000000e-03	-1.004410579510e-01	-1.004410579510e-01	0.000000000000e+00	0.000000000000e+00
5.00000000e-03	-1.005516538122e-01	-1.005516538122e-01	0.000000000000e+00	0.000000000000e+00
6.00000000e-03	-1.006623825902e-01	-1.006623825902e-01	1.387778780781e-17	1.378646863974e-16
7.00000000e-03	-1.007732444694e-01	-1.007732444694e-01	2.775557561563e-17	2.754260395384e-16
8.00000000e-03	-1.008842396343e-01	-1.008842396343e-01	4.163336342344e-17	4.126845141953e-16
9.00000000e-03	-1.009953682699e-01	-1.009953682699e-01	4.163336342344e-17	4.122304234009e-16
1.00000000e-02	-1.011066305615e-01	-1.011066305615e-01	4.163336342344e-17	4.117767864703e-16
1.10000000e-02	-1.012180266944e-01	-1.012180266944e-01	6.938893903907e-17	6.855393382500e-16
1.20000000e-02	-1.013295568547e-01	-1.013295568547e-01	9.714451465470e-17	9.586987022354e-16
1.30000000e-02	-1.014412212284e-01	-1.014412212284e-01	8.326672684689e-17	8.208371886550e-16
1.40000000e-02	-1.015530200021e-01	-1.015530200021e-01	8.326672684689e-17	8.199335366409e-16
1.50000000e-02	-1.016649533625e-01	-1.016649533625e-01	8.326672684689e-17	8.190307878270e-16
1.60000000e-02	-1.017770214967e-01	-1.017770214967e-01	8.326672684689e-17	8.181289413107e-16
1.70000000e-02	-1.018892245922e-01	-1.018892245922e-01	8.326672684689e-17	8.172279961902e-16
1.80000000e-02	-1.020015628367e-01	-1.020015628367e-01	8.326672684689e-17	8.163279515645e-16
1.90000000e-02	-1.021140364183e-01	-1.021140364183e-01	6.938893903907e-17	6.795240054446e-16
2.00000000e-02	-1.022266455253e-01	-1.022266455253e-01	5.551115123126e-17	5.430203734654e-16
2.10000000e-02	-1.023393903464e-01	-1.023393903464e-01	5.551115123126e-17	5.424221411068e-16
2.20000000e-02	-1.024522710707e-01	-1.024522710707e-01	6.938893903907e-17	6.772806333518e-16
2.30000000e-02	-1.025652878874e-01	-1.025652878874e-01	5.551115123126e-17	5.412274695918e-16
2.40000000e-02	-1.026784409863e-01	-1.026784409863e-01	4.163336342344e-17	4.054732719307e-16
2.50000000e-02	-1.027917305572e-01	-1.027917305572e-01	5.551115123126e-17	5.400351850322e-16
2.60000000e-02	-1.029051567906e-01	-1.029051567906e-01	4.163336342344e-17	4.045799522774e-16
2.70000000e-02	-1.030187198770e-01	-1.030187198770e-01	2.775557561563e-17	2.694226413293e-16
2.80000000e-02	-1.031324200074e-01	-1.031324200074e-01	2.775557561563e-17	2.691256116520e-16
2.90000000e-02	-1.032462573729e-01	-1.032462573729e-01	2.775557561563e-17	2.688288788558e-16
3.00000000e-02	-1.033602321653e-01	-1.033602321653e-01	1.387778780781e-17	1.342662213221e-16
3.10000000e-02	-1.034743445765e-01	-1.034743445765e-01	0.000000000000e+00	0.000000000000e+00
3.20000000e-02	-1.035885947986e-01	-1.035885947986e-01	0.000000000000e+00	0.000000000000e+00
3.30000000e-02	-1.037029830243e-01	-1.037029830243e-01	1.387778780781e-17	1.338224552766e-16
3.40000000e-02	-1.038175094464e-01	-1.038175094464e-01	1.387778780781e-17	1.336748288590e-16
3.50000000e-02	-1.039321742582e-01	-1.039321742582e-01	0.000000000000e+00	0.000000000000e+00
3.60000000e-02	-1.040469776532e-01	-1.040469776532e-01	1.387778780781e-17	1.333800185343e-16
3.70000000e-02	-1.041619198253e-01	-1.041619198253e-01	1.387778780781e-17	1.332328343323e-16
3.80000000e-02	-1.042770009687e-01	-1.042770009687e-01	1.387778780781e-17	1.330857972410e-16
3.90000000e-02	-1.043922212780e-01	-1.043922212780e-01	1.387778780781e-17	1.329389071132e-16
4.00000000e-02	-1.045075809480e-01	-1.045075809480e-01	1.387778780781e-17	1.327921638022e-16
4.10000000e-02	-1.046230801739e-01	-1.046230801739e-01	1.387778780781e-17	1.326455671611e-16
4.20000000e-02	-1.047387191514e-01	-1.047387191514e-01	1.387778780781e-17	1.324991170434e-16
4.30000000e-02	-1.048544980762e-01	-1.048544980762e-01	1.387778780781e-17	1.323528133026e-16
4.40000000e-02	-1.049704171445e-01	-1.049704171445e-01	1.387778780781e-17	1.322066557924e-16
4.50000000e-02	-1.050864765530e-01	-1.050864765530e-01	1.387778780781e-17	1.320606443667e-16
4.60000000e-02	-1.052026764984e-01	-1.052026764984e-01	2.775557561563e-17	2.638295577589e-16
4.70000000e-02	-1.053190171781e-01	-1.053190171781e-01	2.775557561563e-17	2.635381183695e-16
4.80000000e-02	-1.054354987894e-01	-1.054354987894e-01	4.163336342344e-17	3.948704554107e-16
4.90000000e-02	-1.055521215305e-01	-1.055521215305e-01	1.387778780781e-17	1.314780565904e-16
5.00000000e-02	-1.056688855994e-01	-1.056688855994e-01	1.387778780781e-17	1.313327733997e-16
5.10000000e-02	-1.057857911947e-01	-1.057857911947e-01	1.387778780781e-17	1.311876354195e-16
5.20000000e-02	-1.059028385153e-01	-1.059028385153e-01	0.000000000000e+00	0.000000000000e+00
5.30000000e-02	-1.060200277606e-01	-1.060200277606e-01	2.775557561563e-17	2.617955890212e-16
5.40000000e-02	-1.061373591300e-01	-1.061373591300e-01	2.775557561563e-17	2.615061825839e-16
5.50000000e-02	-1.062548328236e-01	-1.062548328236e-01	1.387778780781e-17	1.306085327042e-16
5.60000000e-02	-1.063724490415e-01	-1.063724490415e-01	4.163336342344e-17	3.913923558083e-16
5.70000000e-02	-1.064902079844e-01	-1.064902079844e-01	9.714451465470e-17	9.122389419028e-16
5.80000000e-02	-1.066081098533e-01	-1.066081098533e-01	6.938893903907e-17	6.508786164070e-16
5.90000000e-02	-1.067261548494e-01	-1.067261548494e-01	8.326672684689e-17	7.801904506384e-16
6.00000000e-02	-1.068443431745e-01	-1.068443431745e-01	8.326672684689e-17	7.793274250456e-16
6.10000000e-02	-1.069626750305e-01	-1.069626750305e-01	8.326672684689e-17	7.784652620471e-16
6.20000000e-02	-1.070811506198e-01	-1.070811506198e-01	6.938893903907e-17	6.480033006505e-16
6.30000000e-02	-1.071997701450e-01	-1.071997701450e-01	6.938893903907e-17	6.472862669874e-16
6.40000000e-02	-1.073185338093e-01	-1.073185338093e-01	4.163336342344e-17	3.879419699997e-16
6.50000000e-02	-1.074374418159e-01	-1.074374418159e-01	5.551115123126e-17	5.166834791765e-16
6.60000000e-02	-1.075564943687e-01	-1.075564943687e-01	2.775557561563e-17	2.580557852740e-16
6.70000000e-02	-1.076756916717e-01	-1.076756916717e-01	1.387778780781e-17	1.288850583856e-16
6.80000000e-02	-1.077950339294e-01	-1.077950339294e-01	0.000000000000e+00	0.000000000000e+00
6.90000000e-02	-1.079145213465e-01	-1.079145213465e-01	0.000000000000e+00	0.000000000000e+00
7.00000000e-02	-1.080341541283e-01	-1.080341541283e-01	0.000000000000e+00	0.000000000000e+00
