# Równanie: y' = k y (1-y), k=1, y0=1.1, dt=1.000e-03, nsteps=3000
# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	1.099890065970e+00	1.099890065970e+00	4.440892098501e-16	4.037578150673e-16
2.00000000e-03	1.099780263757e+00	1.099780263757e+00	4.440892098501e-16	4.037981263031e-16
3.00000000e-03	1.099670593179e+00	1.099670593179e+00	6.661338147751e-16	6.057575958717e-16
4.00000000e-03	1.099561054056e+00	1.099561054056e+00	6.661338147751e-16	6.058179419125e-16
5.00000000e-03	1.099451646204e+00	1.099451646204e+00	8.881784197001e-16	8.078376368500e-16
6.00000000e-03	1.099342369443e+00	1.099342369443e+00	8.881784197001e-16	8.079179374759e-16
7.00000000e-03	1.099233223592e+00	1.099233223592e+00	8.881784197001e-16	8.079981578412e-16
8.00000000e-03	1.099124208470e+00	1.099124208470e+00	8.881784197001e-16	8.080782980263e-16
9.00000000e-03	1.099015323898e+00	1.099015323898e+00	8.881784197001e-16	8.081583581113e-16
1.00000000e-02	1.098906569694e+00	1.098906569694e+00	1.332267629550e-15	1.212357507264e-15
1.10000000e-02	1.098797945679e+00	1.098797945679e+00	1.332267629550e-15	1.212477357451e-15
1.20000000e-02	1.098689451674e+00	1.098689451674e+00	1.776356839400e-15	1.616796117131e-15
1.30000000e-02	1.098581087500e+00	1.098581087500e+00	1.776356839400e-15	1.616955598100e-15
1.40000000e-02	1.098472852978e+00	1.098472852978e+00	2.220446049250e-15	2.021393649584e-15
1.50000000e-02	1.098364747929e+00	1.098364747929e+00	2.220446049250e-15	2.021592602490e-15
1.60000000e-02	1.098256772176e+00	1.098256772176e+00	1.998401444325e-15	1.819612220889e-15
1.70000000e-02	1.098148925539e+00	1.098148925539e+00	1.998401444325e-15	1.819790920748e-15
1.80000000e-02	1.098041207842e+00	1.098041207842e+00	1.998401444325e-15	1.819969441996e-15
1.90000000e-02	1.097933618908e+00	1.097933618908e+00	1.776356839400e-15	1.617909142055e-15
2.00000000e-02	1.097826158558e+00	1.097826158558e+00	1.998401444325e-15	1.820325949374e-15
2.10000000e-02	1.097718826617e+00	1.097718826617e+00	1.998401444325e-15	1.820503935861e-15
2.20000000e-02	1.097611622908e+00	1.097611622908e+00	2.220446049250e-15	2.022979716056e-15
2.30000000e-02	1.097504547255e+00	1.097504547255e+00	1.998401444325e-15	1.820859375320e-15
2.40000000e-02	1.097397599481e+00	1.097397599481e+00	1.998401444325e-15	1.821036828648e-15
2.50000000e-02	1.097290779413e+00	1.097290779413e+00	1.998401444325e-15	1.821214104611e-15
2.60000000e-02	1.097184086873e+00	1.097184086873e+00	1.998401444325e-15	1.821391203386e-15
2.70000000e-02	1.097077521687e+00	1.097077521687e+00	2.220446049250e-15	2.023964583502e-15
2.80000000e-02	1.096971083681e+00	1.096971083681e+00	1.998401444325e-15	1.821744870083e-15
2.90000000e-02	1.096864772679e+00	1.096864772679e+00	2.220446049250e-15	2.024357153732e-15
3.00000000e-02	1.096758588509e+00	1.096758588509e+00	1.998401444325e-15	1.822097830154e-15
3.10000000e-02	1.096652530996e+00	1.096652530996e+00	2.220446049250e-15	2.024748939607e-15
3.20000000e-02	1.096546599966e+00	1.096546599966e+00	2.220446049250e-15	2.024944538900e-15
3.30000000e-02	1.096440795246e+00	1.096440795246e+00	2.442490654175e-15	2.227653936962e-15
3.40000000e-02	1.096335116664e+00	1.096335116664e+00	2.886579864025e-15	2.632935696532e-15
3.50000000e-02	1.096229564046e+00	1.096229564046e+00	3.108624468950e-15	2.835742230375e-15
3.60000000e-02	1.096124137220e+00	1.096124137220e+00	3.108624468950e-15	2.836014976218e-15
3.70000000e-02	1.096018836015e+00	1.096018836015e+00	3.330669073875e-15	3.038879410126e-15
3.80000000e-02	1.095913660257e+00	1.095913660257e+00	2.886579864025e-15	2.633948246751e-15
3.90000000e-02	1.095808609776e+00	1.095808609776e+00	3.108624468950e-15	2.836831579179e-15
4.00000000e-02	1.095703684401e+00	1.095703684401e+00	3.552713678801e-15	3.242403698535e-15
4.10000000e-02	1.095598883960e+00	1.095598883960e+00	3.108624468950e-15	2.837374621735e-15
4.20000000e-02	1.095494208283e+00	1.095494208283e+00	3.330669073875e-15	3.040334717146e-15
4.30000000e-02	1.095389657199e+00	1.095389657199e+00	3.108624468950e-15	2.837916579291e-15
4.40000000e-02	1.095285230539e+00	1.095285230539e+00	3.330669073875e-15	3.040914805577e-15
4.50000000e-02	1.095180928131e+00	1.095180928131e+00	2.886579864025e-15	2.635710493015e-15
4.60000000e-02	1.095076749808e+00	1.095076749808e+00	2.886579864025e-15	2.635961236993e-15
4.70000000e-02	1.094972695399e+00	1.094972695399e+00	2.886579864025e-15	2.636211730352e-15
4.80000000e-02	1.094868764735e+00	1.094868764735e+00	2.886579864025e-15	2.636461973344e-15
4.90000000e-02	1.094764957648e+00	1.094764957648e+00	2.886579864025e-15	2.636711966217e-15
5.00000000e-02	1.094661273969e+00	1.094661273969e+00	3.108624468950e-15	2.839804917624e-15
5.10000000e-02	1.094557713530e+00	1.094557713530e+00	3.108624468950e-15	2.840073602811e-15
5.20000000e-02	1.094454276164e+00	1.094454276164e+00	3.108624468950e-15	2.840342019446e-15
5.30000000e-02	1.094350961702e+00	1.094350961702e+00	3.330669073875e-15	3.043510894070e-15
5.40000000e-02	1.094247769977e+00	1.094247769977e+00	3.108624468950e-15	2.840878048138e-15
5.50000000e-02	1.094144700822e+00	1.094144700822e+00	3.108624468950e-15	2.841145660730e-15
5.60000000e-02	1.094041754070e+00	1.094041754070e+00	3.108624468950e-15	2.841413005843e-15
5.70000000e-02	1.093938929555e+00	1.093938929555e+00	3.108624468950e-15	2.841680083745e-15
5.80000000e-02	1.093836227111e+00	1.093836227111e+00	3.552713678801e-15	3.247939308232e-15
5.90000000e-02	1.093733646571e+00	1.093733646571e+00	3.330669073875e-15	3.045228684624e-15
6.00000000e-02	1.093631187769e+00	1.093631187769e+00	3.552713678801e-15	3.248548247830e-15
6.10000000e-02	1.093528850541e+00	1.093528850541e+00	3.996802888651e-15	3.654958793883e-15
6.20000000e-02	1.093426634721e+00	1.093426634721e+00	4.440892098501e-15	4.061444963458e-15
6.30000000e-02	1.093324540145e+00	1.093324540145e+00	4.440892098501e-15	4.061824220933e-15
6.40000000e-02	1.093222566647e+00	1.093222566647e+00	4.662936703426e-15	4.265313254307e-15
6.50000000e-02	1.093120714063e+00	1.093120714063e+00	4.662936703426e-15	4.265710679010e-15
6.60000000e-02	1.093018982229e+00	1.093018982229e+00	4.662936703426e-15	4.266107706488e-15
6.70000000e-02	1.092917370982e+00	1.092917370982e+00	5.107025913276e-15	4.672838083530e-15
6.80000000e-02	1.092815880157e+00	1.092815880157e+00	5.107025913276e-15	4.673272054339e-15
6.90000000e-02	1.092714509592e+00	1.092714509592e+00	4.884981308351e-15	4.470501000463e-15
7.00000000e-02	1.092613259123e+00	1.092613259123e+00	4.884981308351e-15	4.470915273600e-15
7.10000000e-02	1.092512128588e+00	1.092512128588e+00	4.662936703426e-15	4.268086899367e-15
7.20000000e-02	1.092411117824e+00	1.092411117824e+00	4.662936703426e-15	4.268481551812e-15
7.30000000e-02	1.092310226669e+00	1.092310226669e+00	4.884981308351e-15	4.472155610269e-15
7.40000000e-02	1.092209454961e+00	1.092209454961e+00	4.884981308351e-15	4.472568229623e-15
7.50000000e-02	1.092108802538e+00	1.092108802538e+00	4.662936703426e-15	4.269663143992e-15
7.60000000e-02	1.092008269239e+00	1.092008269239e+00	4.662936703426e-15	4.270056220981e-15
7.70000000e-02	1.091907854903e+00	1.091907854902e+00	4.662936703426e-15	4.270448905088e-15
7.80000000e-02	1.091807559368e+00	1.091807559368e+00	4.884981308351e-15	4.474214587028e-15
7.90000000e-02	1.091707382474e+00	1.091707382474e+00	5.329070518201e-15	4.881409252837e-15
8.00000000e-02	1.091607324062e+00	1.091607324062e+00	5.551115123126e-15	5.085267385777e-15
8.10000000e-02	1.091507383969e+00	1.091507383969e+00	5.551115123126e-15	5.085733000669e-15
8.20000000e-02	1.091407562038e+00	1.091407562038e+00	5.551115123126e-15	5.086198150178e-15
8.30000000e-02	1.091307858107e+00	1.091307858107e+00	5.551115123126e-15	5.086662834769e-15
8.40000000e-02	1.091208272018e+00	1.091208272018e+00	5.329070518201e-15	4.883641972713e-15
8.50000000e-02	1.091108803612e+00	1.091108803612e+00	5.551115123126e-15	5.087590811061e-15
8.60000000e-02	1.091009452730e+00	1.091009452730e+00	5.551115123126e-15	5.088054103688e-15
8.70000000e-02	1.090910219213e+00	1.090910219213e+00	5.329070518201e-15	4.884976255924e-15
8.80000000e-02	1.090811102903e+00	1.090811102903e+00	5.551115123126e-15	5.088979300222e-15
8.90000000e-02	1.090712103642e+00	1.090712103642e+00	5.329070518201e-15	4.885863556851e-15
9.00000000e-02	1.090613221272e+00	1.090613221272e+00	5.329070518201e-15	4.886306542283e-15
9.10000000e-02	1.090514455635e+00	1.090514455635e+00	5.329070518201e-15	4.886749084951e-15
9.20000000e-02	1.090415806575e+00	1.090415806575e+00	5.551115123126e-15	5.090824151351e-15
9.30000000e-02	1.090317273934e+00	1.090317273934e+00	5.551115123126e-15	5.091284212254e-15
9.40000000e-02	1.090218857555e+00	1.090218857555e+00	5.773159728051e-15	5.295413565859e-15
9.50000000e-02	1.090120557282e+00	1.090120557282e+00	5.551115123126e-15	5.092202955027e-15
9.60000000e-02	1.090022372958e+00	1.090022372958e+00	5.773159728051e-15	5.296368103328e-15
9.70000000e-02	1.089924304429e+00	1.089924304429e+00	5.551115123126e-15	5.093119862150e-15
9.80000000e-02	1.089826351537e+00	1.089826351537e+00	5.551115123126e-15	5.093577628490e-15
9.90000000e-02	1.089728514127e+00	1.089728514127e+00	5.329070518201e-15	4.890273539800e-15
1.00000000e-01	1.089630792044e+00	1.089630792044e+00	5.551115123126e-15	5.094491789014e-15
1.01000000e-01	1.089533185133e+00	1.089533185133e+00	5.995204332976e-15	5.502544038842e-15
1.02000000e-01	1.089435693240e+00	1.089435693240e+00	5.995204332976e-15	5.503036452888e-15
1.03000000e-01	1.089338316209e+00	1.089338316209e+00	5.773159728051e-15	5.299693990515e-15
1.04000000e-01	1.089241053887e+00	1.089241053887e+00	5.773159728051e-15	5.300167219599e-15
1.05000000e-01	1.089143906119e+00	1.089143906119e+00	5.773159728051e-15	5.300639975690e-15
1.06000000e-01	1.089046872751e+00	1.089046872751e+00	5.773159728051e-15	5.301112259261e-15
1.07000000e-01	1.088949953631e+00	1.088949953631e+00	5.773159728051e-15	5.301584070785e-15
1.08000000e-01	1.088853148604e+00	1.088853148604e+00	5.995204332976e-15	5.505980618838e-15
1.09000000e-01	1.088756457519e+00	1.088756457519e+00	5.551115123126e-15	5.098582961131e-15
1.10000000e-01	1.088659880221e+00	1.088659880221e+00	5.551115123126e-15	5.099035267102e-15
1.11000000e-01	1.088563416559e+00	1.088563416559e+00	5.773159728051e-15	5.303466605834e-15
1.12000000e-01	1.088467066380e+00	1.088467066380e+00	5.551115123126e-15	5.099938523257e-15
1.13000000e-01	1.088370829532e+00	1.088370829532e+00	5.551115123126e-15	5.100389474344e-15
1.14000000e-01	1.088274705863e+00	1.088274705863e+00	5.773159728051e-15	5.304873573693e-15
1.15000000e-01	1.088178695222e+00	1.088178695222e+00	5.995204332976e-15	5.509393226774e-15
1.16000000e-01	1.088082797457e+00	1.088082797457e+00	5.995204332976e-15	5.509878795056e-15
1.17000000e-01	1.087987012418e+00	1.087987012418e+00	5.995204332976e-15	5.510363878012e-15
1.18000000e-01	1.087891339954e+00	1.087891339954e+00	5.773159728051e-15	5.306742977012e-15
1.19000000e-01	1.087795779913e+00	1.087795779913e+00	5.551115123126e-15	5.103085731377e-15
1.20000000e-01	1.087700332146e+00	1.087700332146e+00	5.773159728051e-15	5.307674878302e-15
1.21000000e-01	1.087604996502e+00	1.087604996502e+00	5.995204332976e-15	5.512299366274e-15
1.22000000e-01	1.087509772832e+00	1.087509772832e+00	5.773159728051e-15	5.308604917652e-15
1.23000000e-01	1.087414660986e+00	1.087414660986e+00	5.995204332976e-15	5.513264211042e-15
1.24000000e-01	1.087319660814e+00	1.087319660814e+00	5.773159728051e-15	5.309533098782e-15
