# t	y_num	y_exact	abs_err	rel_err
1.00000000e-03	-7.985618696892e-01	1.000000000000e+00	1.798561869689e+00	1.798561869689e+00
2.00000000e-03	-7.971274695367e-01	1.000000000000e+00	1.797127469537e+00	1.797127469537e+00
3.00000000e-03	-7.956967857629e-01	1.000000000000e+00	1.795696785763e+00	1.795696785763e+00
4.00000000e-03	-7.942698046560e-01	1.000000000000e+00	1.794269804656e+00	1.794269804656e+00
5.00000000e-03	-7.928465125714e-01	1.000000000000e+00	1.792846512571e+00	1.792846512571e+00
6.00000000e-03	-7.914268959310e-01	1.000000000000e+00	1.791426895931e+00	1.791426895931e+00
7.00000000e-03	-7.900109412235e-01	1.000000000000e+00	1.790010941223e+00	1.790010941223e+00
8.00000000e-03	-7.885986350032e-01	1.000000000000e+00	1.788598635003e+00	1.788598635003e+00
9.00000000e-03	-7.871899638901e-01	1.000000000000e+00	1.787189963890e+00	1.787189963890e+00
1.00000000e-02	-7.857849145694e-01	1.000000000000e+00	1.785784914569e+00	1.785784914569e+00
1.10000000e-02	-7.843834737911e-01	1.000000000000e+00	1.784383473791e+00	1.784383473791e+00
1.20000000e-02	-7.829856283694e-01	1.000000000000e+00	1.782985628369e+00	1.782985628369e+00
1.30000000e-02	-7.815913651826e-01	1.000000000000e+00	1.781591365183e+00	1.781591365183e+00
1.40000000e-02	-7.802006711726e-01	1.000000000000e+00	1.780200671173e+00	1.780200671173e+00
1.50000000e-02	-7.788135333445e-01	1.000000000000e+00	1.778813533345e+00	1.778813533345e+00
1.60000000e-02	-7.774299387662e-01	1.000000000000e+00	1.777429938766e+00	1.777429938766e+00
1.70000000e-02	-7.760498745681e-01	1.000000000000e+00	1.776049874568e+00	1.776049874568e+00
1.80000000e-02	-7.746733279426e-01	1.000000000000e+00	1.774673327943e+00	1.774673327943e+00
1.90000000e-02	-7.733002861438e-01	1.000000000000e+00	1.773300286144e+00	1.773300286144e+00
2.00000000e-02	-7.719307364872e-01	1.000000000000e+00	1.771930736487e+00	1.771930736487e+00
2.10000000e-02	-7.705646663492e-01	1.000000000000e+00	1.770564666349e+00	1.770564666349e+00
2.20000000e-02	-7.692020631669e-01	1.000000000000e+00	1.769202063167e+00	1.769202063167e+00
2.30000000e-02	-7.678429144373e-01	1.000000000000e+00	1.767842914437e+00	1.767842914437e+00
2.40000000e-02	-7.664872077178e-01	1.000000000000e+00	1.766487207718e+00	1.766487207718e+00
2.50000000e-02	-7.651349306248e-01	1.000000000000e+00	1.765134930625e+00	1.765134930625e+00
2.60000000e-02	-7.637860708342e-01	1.000000000000e+00	1.763786070834e+00	1.763786070834e+00
2.70000000e-02	-7.624406160804e-01	1.000000000000e+00	1.762440616080e+00	1.762440616080e+00
2.80000000e-02	-7.610985541566e-01	1.000000000000e+00	1.761098554157e+00	1.761098554157e+00
2.90000000e-02	-7.597598729139e-01	1.000000000000e+00	1.759759872914e+00	1.759759872914e+00
3.00000000e-02	-7.584245602610e-01	1.000000000000e+00	1.758424560261e+00	1.758424560261e+00
